"film_id","title","description","length","rental_rate"
133,"Chamber Italian","A Fateful Reflection of a Moose And a Husband who must Overcome a Monkey in Nigeria",117,4.99
132,"Chainsaw Uptown","A Beautiful Documentary of a Boy And a Robot who must Discover a Squirrel in Australia",114,0.99
134,"Champion Flatliners","A Amazing Story of a Mad Cow And a Dog who must Kill a Husband in A Monastery",51,4.99
135,"Chance Resurrection","A Astounding Story of a Forensic Psychologist And a Forensic Psychologist who must Overcome a Moose in Ancient China",70,2.99
136,"Chaplin License","A Boring Drama of a Dog And a Forensic Psychologist who must Outrace a Explorer in Ancient India",146,2.99
137,"Charade Duffel","A Action-Packed Display of a Man And a Waitress who must Build a Dog in A MySQL Convention",66,2.99
138,"Chariots Conspiracy","A Unbelieveable Epistle of a Robot And a Husband who must Chase a Robot in The First Manned Space Station",71,2.99
139,"Chasing Fight","A Astounding Saga of a Technical Writer And a Butler who must Battle a Butler in A Shark Tank",114,4.99
140,"Cheaper Clyde","A Emotional Character Study of a Pioneer And a Girl who must Discover a Dog in Ancient Japan",87,0.99
141,"Chicago North","A Fateful Yarn of a Mad Cow And a Waitress who must Battle a Student in California",185,4.99
142,"Chicken Hellfighters","A Emotional Drama of a Dog And a Explorer who must Outrace a Technical Writer in Australia",122,0.99
143,"Chill Luck","A Lacklusture Epistle of a Boat And a Technical Writer who must Fight a A Shark in The Canadian Rockies",142,0.99
144,"Chinatown Gladiator","A Brilliant Panorama of a Technical Writer And a Lumberjack who must Escape a Butler in Ancient India",61,4.99
145,"Chisum Behavior","A Epic Documentary of a Sumo Wrestler And a Butler who must Kill a Car in Ancient India",124,4.99
146,"Chitty Lock","A Boring Epistle of a Boat And a Database Administrator who must Kill a Sumo Wrestler in The First Manned Space Station",107,2.99
147,"Chocolat Harry","A Action-Packed Epistle of a Dentist And a Moose who must Meet a Mad Cow in Ancient Japan",101,0.99
148,"Chocolate Duck","A Unbelieveable Story of a Mad Scientist And a Technical Writer who must Discover a Composer in Ancient China",132,2.99
149,"Christmas Moonshine","A Action-Packed Epistle of a Feminist And a Astronaut who must Conquer a Boat in A Manhattan Penthouse",150,0.99
